Title	URL	Assignees	Status	Sprint	Task Type	Nature	Epic	Time estimate	Actual time
Beacons and tracks firebase storage	https://github.com/G12-Wanderwave/Wanderwave/pull/92	KlaKalma	Done in Sprint #4						
add a song to the beacon	https://github.com/G12-Wanderwave/Wanderwave/issues/183	aymanbakiri	Done in Sprint #4	Sprint 4		Sprint Task		8h	Actual :10h
Get access to Spotify account again	https://github.com/G12-Wanderwave/Wanderwave/issues/110	yzueger	Done in Sprint #4						Actual: 2h
Retrieve a song from spotify	https://github.com/G12-Wanderwave/Wanderwave/issues/129	mbouaissi	Done in Sprint #4	Sprint 4	Backend	Sprint Task		5	
Select a song from a list of songs	https://github.com/G12-Wanderwave/Wanderwave/issues/131	mbouaissi	Done in Sprint #4	Sprint 4	Backend	Sprint Task		3h	
Add the play/pause functionality to the Spotify Controller	https://github.com/G12-Wanderwave/Wanderwave/issues/116	IB-12	Done in Sprint #4					6h	8h
Add the skip functionality to the Spotify Controller	https://github.com/G12-Wanderwave/Wanderwave/issues/115	IB-12	Done in Sprint #4					5h	5h
Media player can play music	https://github.com/G12-Wanderwave/Wanderwave/issues/77	tsogtb	Done in Sprint #4					3h	
Do the relationnal model	https://github.com/G12-Wanderwave/Wanderwave/issues/126	mbouaissi	Done in Sprint #4		Backend			2h	
Setup firebase functions with admin sdk for authentication	https://github.com/G12-Wanderwave/Wanderwave/issues/72	yzueger	Done in Sprint #4					4h	Actual: 5.5h
Add feature branch protection	https://github.com/G12-Wanderwave/Wanderwave/issues/164	IB-12	Done in Sprint #5	Sprint 5		Sprint Task		0.5h	0.25h
As a music enjoyer, I want to be able to see the songs in beacons near me and play them, so that I can discover the music	https://github.com/G12-Wanderwave/Wanderwave/issues/67	joriba, KlaKalma, yzueger	Done in Sprint #5					25h	
As a Spotify user, I want to be able to control my spotify app from Wanderwave, in order to play the music that is shared with me	https://github.com/G12-Wanderwave/Wanderwave/issues/113	IB-12	Done in Sprint #5		Backend				
As a WanderWave user, I want to see a map, so that I can see where I am, and see nearby beacons	https://github.com/G12-Wanderwave/Wanderwave/issues/31	joriba	Done in Sprint #5					8h	
Add the loop functionality to the Spotify Controller	https://github.com/G12-Wanderwave/Wanderwave/issues/134	IB-12	Done in Sprint #5	Sprint 4	Backend	Sprint Task		5h	2h
Add the shuffle functionality to the Spotify Controller	https://github.com/G12-Wanderwave/Wanderwave/issues/157	IB-12	Done in Sprint #5	Sprint 5	Backend	Sprint Task		5h	5h
Add queue control to Spotify Controller	https://github.com/G12-Wanderwave/Wanderwave/issues/180	IB-12	Done in Sprint #5	Sprint 5	Backend	Sprint Task		5h	10h
Navigate to the beacon screen when clicking a beacon	https://github.com/G12-Wanderwave/Wanderwave/issues/133	joriba	Done in Sprint #5	Sprint 4				4 hours	8 hours
Create a screen showing beacon information with the track list	https://github.com/G12-Wanderwave/Wanderwave/issues/130	joriba	Done in Sprint #5	Sprint 4				4 hour	6 hours
Beacons show their track list when tapped	https://github.com/G12-Wanderwave/Wanderwave/issues/76	joriba	Done in Sprint #5					8 hours	14 hours
End-to-end test 6: the user login, and select a song, and add it to his top track playlist	https://github.com/G12-Wanderwave/Wanderwave/issues/174	mbouaissi	Done in Sprint #5					4h	
Test the UI of the media player	https://github.com/G12-Wanderwave/Wanderwave/issues/114	tsogtb	Done in Sprint #5					2h	
Create view-only profile view	https://github.com/G12-Wanderwave/Wanderwave/issues/162	mbouaissi	Done in Sprint #5	Sprint 5				2h	
Add option to see uploader user profile for tracks in beacon	https://github.com/G12-Wanderwave/Wanderwave/issues/163	mbouaissi	Done in Sprint #5	Sprint 5				3h	
Delete the room local repositories and use the local firebase repo	https://github.com/G12-Wanderwave/Wanderwave/issues/122	KlaKalma	Done in Sprint #5	Sprint 4				8h	
[BUGFIX] Do not test with Firebase in production	https://github.com/G12-Wanderwave/Wanderwave/issues/156	KlaKalma	Done in Sprint #5					2h	
Connect spotify authentication to firebase	https://github.com/G12-Wanderwave/Wanderwave/issues/69	yzueger	Done in Sprint #5					12h	Actual: 11h
As a user, I am not always connected to WiFi, and I still want to be able to use the app somewhat.	https://github.com/G12-Wanderwave/Wanderwave/issues/120	KlaKalma	Done in Sprint #5		Backend	User Story			
Connect the UI to the backend	https://github.com/G12-Wanderwave/Wanderwave/issues/127	KlaKalma	Done in Sprint #5					5h	
Add methods to get data from spotify web API to SpotifyController	https://github.com/G12-Wanderwave/Wanderwave/issues/209	yzueger	Done in Sprint #5					2h	
End-to-end test 5: Login to using media player	https://github.com/G12-Wanderwave/Wanderwave/issues/173	IB-12	In Development	Sprint 5		Sprint Task		5h	
Drop song near a beacon	https://github.com/G12-Wanderwave/Wanderwave/issues/227	IB-12	In Development	Sprint 6	Backend			6h	
firebase can store the tracks of a user	https://github.com/G12-Wanderwave/Wanderwave/issues/250	KlaKalma	In Development					6h	
Find the different important places to implement the beacons there	https://github.com/G12-Wanderwave/Wanderwave/issues/204	IB-12, mbouaissi	Done in Sprint #6	Sprint 6	Backend	Sprint Task		5h	5h
